State,2008,2016,2020,,,,,,,,,,,,,,,,,,,,
Alabama,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Arizona,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Arkansas,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Colorado,Caucus,Caucus,Primary,,,,,,,,,,,,,,,,,,,,
Florida,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Iowa,Caucus,Caucus,Caucus,,,,,,,,,,,,,,,,,,,,
Maine,Caucus,Caucus,Primary,,,,,,,,,,,,,,,,,,,,
Massachusetts,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Michigan,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Minnesota,Caucus,Caucus,Primary,,,,,,,,,,,,,,,,,,,,
Mississippi,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Missouri,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Nevada,Caucus,Caucus,Caucus,,,,,,,,,,,,,,,,,,,,
New Hampshire,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
North Carolina,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
North Dakota,Caucus,Caucus,Caucus,,,,,,,,,,,,,,,,,,,,
Oklahoma,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
South Carolina,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Tennessee,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Texas,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Utah,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Vermont,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Virginia,Primary,Primary,Primary,,,,,,,,,,,,,,,,,,,,
Washington,Caucus,Caucus,Primary,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,